Year,RK,Team,League,G,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCTâ–¼,DER
,21,New York Yankees,AL,162,1458,12993.0,6028,4331,1593,104,145,92,47,0.662,17,46,0.983,0.695
,22,Chicago Cubs,NL,162,1458,12951.0,5903,4317,1480,106,122,118,39,0.752,12,68,0.982,0.699
,23,Los Angeles Dodgers,NL,162,1458,13143.0,6293,4382,1796,115,174,110,38,0.743,7,54,0.982,0.681
,24,Tampa Bay Devil Rays,AL,162,1458,12783.0,5971,4261,1594,116,156,108,46,0.701,8,70,0.981,0.671
,25,Cleveland Indians,AL,162,1458,12810.0,6057,4270,1669,118,165,128,34,0.790,7,46,0.981,0.675
,26,Milwaukee Brewers,NL,162,1458,12831.0,5976,4277,1582,117,126,97,31,0.758,3,57,0.980,0.686
,27,Los Angeles Angels,AL,162,1458,13074.0,6027,4358,1545,124,154,77,40,0.658,8,85,0.979,0.690
,28,Florida Marlins,NL,162,1458,12900.0,6014,4300,1588,126,166,69,46,0.600,14,47,0.979,0.684
,29,Cincinnati Reds,NL,162,1458,13011.0,6064,4337,1599,128,139,50,35,0.588,9,40,0.979,0.682
,30,Washington Nationals,NL,162,1458,12927.0,5941,4309,1501,131,123,110,30,0.786,11,47,0.978,0.692
2005,1,Atlanta Braves,NL,162,1458,12993.0,6219,4331,1802,86,170,89,36,0.712,8,42,0.986,0.694
,2,Oakland Athletics,AL,162,1458,13053.0,6088,4351,1649,88,166,109,25,0.813,5,41,0.986,0.715
,3,Seattle Mariners,AL,162,1458,12849.0,5944,4283,1575,86,144,89,43,0.674,14,36,0.986,0.701
,4,Los Angeles Angels,AL,162,1458,13179.0,6001,4393,1521,87,139,68,42,0.618,13,70,0.986,0.701
,5,Houston Astros,NL,163,1467,12987.0,6118,4329,1700,89,146,53,31,0.631,6,38,0.985,0.706
,6,San Francisco Giants,NL,162,1458,12999.0,6053,4333,1630,90,146,78,54,0.591,5,38,0.985,0.699
,7,Philadelphia Phillies,NL,162,1458,12915.0,6003,4305,1608,90,132,82,26,0.759,12,36,0.985,0.704
,8,Arizona Diamondbacks,NL,162,1458,13107.0,6257,4369,1794,94,159,78,28,0.736,11,58,0.985,0.683
,9,Chicago White Sox,AL,162,1458,13281.0,6191,4427,1670,94,166,103,25,0.805,9,65,0.985,0.712
,10,Washington Nationals,NL,162,1458,13122.0,6014,4374,1548,92,156,76,41,0.650,7,49,0.985,0.698
,11,Toronto Blue Jays,AL,162,1458,13023.0,6193,4341,1757,95,154,100,35,0.741,6,39,0.985,0.700
,12,New York Yankees,AL,162,1458,12876.0,6075,4292,1688,95,151,125,50,0.714,11,37,0.984,0.688
,13,St. Louis Cardinals,NL,162,1458,13011.0,6388,4337,1951,100,196,32,33,0.492,12,41,0.984,0.702
,14,Minnesota Twins,AL,162,1458,13179.0,6259,4393,1764,102,171,44,36,0.550,9,35,0.984,0.702
,15,Chicago Cubs,NL,162,1458,12960.0,6079,4320,1658,101,136,90,40,0.692,6,57,0.983,0.699
,16,Florida Marlins,NL,162,1458,12981.0,6089,4327,1659,103,177,118,38,0.756,9,45,0.983,0.680
,17,Los Angeles Dodgers,NL,162,1458,12846.0,6115,4282,1727,106,141,130,34,0.793,9,36,0.983,0.700
,18,Cleveland Indians,AL,162,1458,13074.0,6110,4358,1646,106,156,103,33,0.757,6,26,0.983,0.709
,19,Cincinnati Reds,NL,163,1467,12897.0,5990,4299,1587,104,133,76,35,0.685,9,53,0.983,0.677
,20,New York Mets,NL,162,1458,12921.0,6070,4307,1657,106,146,107,25,0.811,5,32,0.983,0.700
,21,Baltimore Orioles,AL,162,1458,12849.0,6069,4283,1679,107,154,115,34,0.772,13,70,0.982,0.693
,22,Texas Rangers,AL,162,1458,12960.0,6106,4320,1678,108,149,69,26,0.726,11,44,0.982,0.681
,23,Detroit Tigers,AL,162,1458,12921.0,6208,4307,1791,110,171,60,49,0.550,4,53,0.982,0.697
,24,Boston Red Sox,AL,162,1458,12861.0,6019,4287,1623,109,135,87,29,0.750,13,56,0.982,0.684
,25,San Diego Padres,NL,162,1458,13098.0,6004,4366,1529,109,136,94,25,0.790,12,36,0.982,0.690
,26,Pittsburgh Pirates,NL,162,1458,12924.0,6228,4308,1803,117,193,64,36,0.640,16,53,0.981,0.694
,27,Colorado Rockies,NL,162,1458,12768.0,6080,4256,1706,118,158,102,37,0.734,14,65,0.981,0.671
,28,Milwaukee Brewers,NL,162,1458,12942.0,5915,4314,1482,119,139,86,34,0.717,8,66,0.980,0.696
,29,Kansas City Royals,AL,162,1458,12720.0,6011,4240,1646,125,163,70,44,0.614,5,69,0.979,0.666
,30,Tampa Bay Devil Rays,AL,162,1458,12795.0,5835,4265,1446,124,139,68,45,0.602,13,53,0.979,0.683
2004,1,Los Angeles Dodgers,NL,162,1458,13080.0,6099,4360,1666,73,145,96,40,0.706,15,43,0.988,0.714
,2,Philadelphia Phillies,NL,162,1458,13164.0,6098,4388,1629,81,142,103,26,0.798,7,40,0.987,0.704
,3,Chicago Cubs,NL,162,1458,13188.0,6061,4396,1579,86,126,108,39,0.735,9,50,0.986,0.696
,4,Colorado Rockies,NL,162,1458,12918.0,6218,4306,1823,89,161,111,32,0.776,15,66,0.986,0.680
,5,Florida Marlins,NL,162,1458,12951.0,6006,4317,1603,86,153,118,38,0.756,11,35,0.986,0.701
,6,Oakland Athletics,AL,162,1458,13242.0,6314,4414,1809,91,172,74,49,0.602,14,39,0.986,0.696
,7,Anaheim Angels,AL,162,1458,13089.0,5964,4363,1511,90,126,87,44,0.664,11,61,0.985,0.686
,8,Toronto Blue Jays,AL,161,1449,12789.0,5985,4263,1631,91,150,91,41,0.689,11,60,0.985,0.692
,9,St. Louis Cardinals,NL,162,1458,13083.0,6292,4361,1834,97,154,53,29,0.646,9,42,0.985,0.710
,10,Montreal Expos,NL,162,1458,13023.0,6139,4341,1699,99,172,58,41,0.586,7,43,0.984,0.695
,11,San Francisco Giants,NL,162,1458,13113.0,6209,4371,1737,101,153,72,24,0.750,11,52,0.984,0.694
,12,Minnesota Twins,AL,162,1458,13284.0,6187,4428,1658,101,158,73,44,0.624,6,45,0.984,0.686
,13,Chicago White Sox,AL,162,1458,12891.0,6064,4297,1667,100,167,90,48,0.652,14,43,0.984,0.694
,14,New York Yankees,AL,162,1458,12993.0,6001,4331,1571,99,148,90,32,0.738,13,57,0.984,0.687
,15,Houston Astros,NL,162,1458,12987.0,6050,4329,1620,101,136,101,39,0.721,4,45,0.983,0.686
,16,Pittsburgh Pirates,NL,161,1449,12852.0,6080,4284,1693,103,189,72,38,0.655,2,45,0.983,0.685
,17,Cleveland Indians,AL,162,1458,13200.0,6182,4400,1676,106,152,117,40,0.745,15,43,0.983,0.684
,18,Seattle Mariners,AL,162,1458,13134.0,5954,4378,1473,103,140,64,38,0.627,11,45,0.983,0.700
,19,Baltimore Orioles,AL,162,1458,13098.0,6159,4366,1683,110,161,82,39,0.678,15,68,0.982,0.685
,20,San Diego Padres,NL,162,1458,12969.0,6033,4323,1602,108,146,69,25,0.734,9,27,0.982,0.693
,21,Atlanta Braves,NL,162,1458,13050.0,6257,4350,1791,116,171,91,29,0.758,10,36,0.981,0.688
,22,Cincinnati Reds,NL,162,1458,12993.0,6085,4331,1641,113,123,67,29,0.698,17,74,0.981,0.688
,23,Boston Red Sox,AL,162,1458,13062.0,6122,4354,1650,118,129,123,31,0.799,21,39,0.981,0.692
,24,Texas Rangers,AL,162,1458,12957.0,6040,4319,1604,117,152,71,39,0.645,16,34,0.981,0.687
,25,Milwaukee Brewers,NL,161,1449,12978.0,6037,4326,1594,117,132,89,29,0.754,7,59,0.981,0.691
,26,Tampa Bay Devil Rays,AL,161,1449,12753.0,5900,4251,1530,119,139,67,32,0.677,8,55,0.980,0.700
,27,Kansas City Royals,AL,162,1458,12783.0,6027,4261,1635,131,169,84,35,0.706,17,60,0.978,0.675
,28,New York Mets,NL,162,1458,13041.0,6229,4347,1745,137,144,100,39,0.719,12,30,0.978,0.693
,29,Arizona Diamondbacks,NL,162,1458,12924.0,6163,4308,1716,139,144,97,50,0.660,18,71,0.977,0.681
,30,Detroit Tigers,AL,162,1458,12957.0,6175,4319,1712,144,160,71,41,0.634,10,71,0.977,0.684
2003,1,Seattle Mariners,AL,162,1458,12969.0,5838,4323,1450,65,159,62,32,0.660,12,35,0.989,0.720
,2,St. Louis Cardinals,NL,162,1458,13173.0,6112,4391,1644,77,138,55,24,0.696,7,53,0.987,0.700
,3,Florida Marlins,NL,162,1458,13008.0,6004,4336,1590,78,162,70,25,0.737,11,51,0.987,0.692
,4,San Francisco Giants,NL,161,1449,12936.0,6067,4312,1675,80,163,67,29,0.698,8,68,0.987,0.709
,5,Minnesota Twins,AL,162,1458,13158.0,5954,4386,1481,87,114,70,27,0.722,10,62,0.985,0.700
,6,Texas Rangers,AL,162,1458,12900.0,6097,4300,1703,94,168,96,45,0.681,11,51,0.985,0.675
,7,Houston Astros,NL,162,1458,13050.0,6155,4350,1710,95,149,86,48,0.642,4,40,0.985,0.704
,8,Chicago White Sox,AL,162,1458,12879.0,5974,4293,1588,93,154,58,29,0.667,13,39,0.984,0.705
,9,Philadelphia Phillies,NL,162,1458,12993.0,6122,4331,1694,97,146,112,24,0.824,16,53,0.984,0.703
,10,Montreal Expos,NL,162,1458,12939.0,6147,4313,1732,102,152,40,38,0.513,11,71,0.983,0.695
,11,San Diego Padres,NL,162,1458,12882.0,6030,4294,1634,102,141,95,25,0.792,15,64,0.983,0.696
,12,Baltimore Orioles,AL,163,1467,13047.0,6137,4349,1683,105,164,121,37,0.766,12,42,0.983,0.684
,13,Tampa Bay Devil Rays,AL,162,1458,12930.0,5993,4310,1580,103,158,65,41,0.613,9,65,0.983,0.708
,14,Chicago Cubs,NL,162,1458,13107.0,6156,4369,1681,106,157,70,42,0.625,12,63,0.983,0.692
,15,Oakland Athletics,AL,162,1458,12975.0,6211,4325,1779,107,145,91,43,0.679,9,41,0.983,0.712
,16,Arizona Diamondbacks,NL,162,1458,13095.0,6165,4365,1693,107,132,84,38,0.689,15,52,0.983,0.690
,17,Kansas City Royals,AL,162,1458,12948.0,6129,4316,1705,108,143,95,42,0.693,8,60,0.982,0.690
,18,Anaheim Angels,AL,162,1458,12882.0,5916,4294,1517,105,138,80,48,0.625,11,53,0.982,0.703
,19,Boston Red Sox,AL,162,1458,13182.0,6186,4394,1679,113,130,101,35,0.743,20,44,0.982,0.685
,20,Milwaukee Brewers,NL,162,1458,13068.0,6087,4356,1617,114,142,100,37,0.730,14,57,0.981,0.683
,21,New York Yankees,AL,163,1467,13158.0,6078,4386,1578,114,126,92,37,0.713,13,33,0.981,0.681
,22,Colorado Rockies,NL,162,1458,12780.0,6161,4260,1785,116,165,73,42,0.635,11,48,0.981,0.678
,23,Los Angeles Dodgers,NL,162,1458,13119.0,6302,4373,1810,119,164,117,75,0.609,8,50,0.981,0.703
,24,Toronto Blue Jays,AL,162,1458,12915.0,6164,4305,1742,117,161,126,32,0.797,10,56,0.981,0.681
,25,Atlanta Braves,NL,162,1458,13107.0,6374,4369,1884,121,166,91,34,0.728,7,53,0.981,0.698
,26,Pittsburgh Pirates,NL,162,1458,12999.0,6300,4333,1844,123,159,69,26,0.726,10,50,0.980,0.691
,27,New York Mets,NL,161,1449,12720.0,6013,4240,1655,118,158,98,52,0.653,5,45,0.980,0.688
,28,Cleveland Indians,AL,162,1458,13134.0,6284,4378,1780,126,178,84,43,0.661,11,49,0.980,0.699
,29,Detroit Tigers,AL,162,1458,12948.0,6267,4316,1813,138,194,128,54,0.703,11,52,0.978,0.685
,30,Cincinnati Reds,NL,162,1458,13017.0,6180,4339,1700,141,152,77,28,0.733,9,46,0.977,0.688
2002,1,Minnesota Twins,AL,161,1449,13002.0,5830,4334,1422,74,124,57,27,0.679,5,62,0.987,0.704
,2,Houston Astros,NL,162,1458,13005.0,6081,4335,1663,83,149,104,36,0.743,5,38,0.986,0.687
,3,Philadelphia Phillies,NL,161,1449,13047.0,6137,4349,1700,88,156,74,34,0.685,12,68,0.986,0.706
,4,Anaheim Angels,AL,162,1458,13071.0,6019,4357,1575,87,151,78,51,0.605,7,52,0.986,0.719
,5,Los Angeles Dodgers,NL,162,1458,13119.0,6149,4373,1686,90,134,110,53,0.675,12,33,0.985,0.717
,6,Baltimore Orioles,AL,162,1458,13056.0,6163,4352,1720,91,173,103,44,0.701,22,54,0.985,0.703
,7,Seattle Mariners,AL,162,1457,13008.0,5939,4336,1515,88,134,66,35,0.653,7,42,0.985,0.704
,8,San Francisco Giants,NL,162,1458,12936.0,6032,4312,1630,90,166,87,36,0.707,7,36,0.985,0.707
,9,Arizona Diamondbacks,NL,162,1458,13020.0,5935,4340,1506,89,117,77,43,0.642,13,48,0.985,0.696
,10,Texas Rangers,AL,162,1458,12957.0,6101,4319,1683,99,152,74,28,0.725,11,84,0.984,0.689
,11,Chicago White Sox,AL,162,1458,12807.0,5961,4269,1595,97,157,99,38,0.723,9,54,0.984,0.706
,12,Oakland Athletics,AL,162,1458,13068.0,6256,4356,1798,102,144,68,46,0.596,9,40,0.984,0.703
,13,St. Louis Cardinals,NL,162,1458,13017.0,6116,4339,1674,103,168,86,34,0.717,9,40,0.983,0.711
,14,Milwaukee Brewers,NL,162,1458,12891.0,6033,4297,1633,103,154,109,49,0.690,12,64,0.983,0.697
,15,Boston Red Sox,AL,162,1458,13014.0,6087,4338,1645,104,140,118,50,0.702,20,31,0.983,0.703
,16,Florida Marlins,NL,162,1458,13107.0,6111,4369,1636,106,163,93,61,0.604,6,55,0.983,0.691
,17,Toronto Blue Jays,AL,162,1457,12945.0,6035,4315,1613,107,159,107,41,0.723,18,57,0.982,0.692
,18,Atlanta Braves,NL,161,1449,13206.0,6338,4402,1822,114,170,96,55,0.636,12,40,0.982,0.713
,19,Colorado Rockies,NL,162,1458,12840.0,6093,4280,1701,112,158,87,23,0.791,12,42,0.982,0.693
,20,Pittsburgh Pirates,NL,161,1449,12714.0,6252,4238,1899,115,177,94,44,0.681,12,34,0.982,0.693
,21,Cleveland Indians,AL,162,1457,12822.0,6049,4274,1662,113,161,126,59,0.681,15,52,0.981,0.675
,22,Cincinnati Reds,NL,162,1458,13083.0,6254,4361,1773,120,169,67,42,0.615,28,52,0.981,0.692
,23,Chicago Cubs,NL,162,1458,12972.0,5938,4324,1500,114,144,112,54,0.675,15,44,0.981,0.685
,24,San Diego Padres,NL,162,1458,12927.0,6118,4309,1681,128,162,76,40,0.655,14,51,0.979,0.677
,25,Tampa Bay Devil Rays,AL,161,1449,12963.0,6014,4321,1567,126,168,92,53,0.634,13,62,0.979,0.687
,26,Kansas City Royals,AL,162,1458,12969.0,6155,4323,1702,130,153,90,36,0.714,8,68,0.979,0.689
,27,New York Yankees,AL,161,1449,13068.0,6007,4356,1524,127,117,92,39,0.702,10,59,0.979,0.689
,28,Montreal Expos,NL,162,1458,13077.0,6297,4359,1799,139,160,85,44,0.659,12,51,0.978,0.685
,29,Detroit Tigers,AL,161,1449,12726.0,6103,4242,1719,142,148,72,34,0.679,23,59,0.977,0.681
,30,New York Mets,NL,161,1449,12984.0,6100,4328,1628,144,138,151,53,0.740,11,22,0.976,0.694
2001,1,Seattle Mariners,AL,162,1458,13185.0,6012,4395,1534,83,137,73,29,0.716,6,40,0.986,0.727
,2,Arizona Diamondbacks,NL,162,1458,13137.0,6022,4379,1559,84,148,107,55,0.660,12,45,0.986,0.702
,3,Philadelphia Phillies,NL,162,1458,13008.0,6030,4336,1603,91,145,57,32,0.640,9,40,0.985,0.701
,4,Toronto Blue Jays,AL,162,1458,13164.0,6317,4388,1832,97,184,112,47,0.704,10,33,0.985,0.682
,5,Colorado Rockies,NL,162,1458,12870.0,6081,4290,1695,96,167,100,36,0.735,14,38,0.984,0.692
,6,Milwaukee Brewers,NL,162,1457,12927.0,6141,4309,1729,103,156,93,47,0.664,11,58,0.983,0.698
,7,New York Mets,NL,162,1457,13011.0,6014,4337,1576,101,132,131,40,0.766,11,53,0.983,0.695
,8,Anaheim Angels,AL,162,1458,12939.0,6106,4313,1690,103,142,109,59,0.649,16,46,0.983,0.697
,9,Florida Marlins,NL,162,1458,12942.0,6084,4314,1667,103,174,75,51,0.595,10,40,0.983,0.692
,10,Atlanta Braves,NL,162,1457,13026.0,6081,4342,1636,103,133,102,50,0.671,9,41,0.983,0.701
,11,Cleveland Indians,AL,162,1456,13020.0,6058,4340,1611,107,137,128,60,0.681,12,58,0.982,0.672
,12,Houston Astros,NL,162,1458,13092.0,6136,4364,1662,110,138,66,49,0.574,4,42,0.982,0.691
,13,Montreal Expos,NL,162,1456,12882.0,6023,4294,1621,108,139,128,33,0.795,12,55,0.982,0.684
,14,Minnesota Twins,AL,162,1458,12972.0,5974,4324,1542,108,118,73,43,0.629,4,58,0.982,0.700
,15,St. Louis Cardinals,NL,162,1457,12918.0,6080,4306,1664,110,156,51,37,0.580,7,45,0.982,0.703
,16,New York Yankees,AL,161,1448,13062.0,5992,4354,1529,109,132,146,45,0.764,21,54,0.982,0.682
,17,Chicago Cubs,NL,162,1458,12933.0,5913,4311,1493,109,113,106,46,0.697,13,48,0.982,0.690
,18,Kansas City Royals,AL,162,1458,12960.0,6238,4320,1801,117,204,105,45,0.700,10,73,0.981,0.691
,19,Boston Red Sox,AL,161,1449,13032.0,6015,4344,1558,113,129,223,51,0.814,23,54,0.981,0.684
,20,Texas Rangers,AL,162,1457,12945.0,6067,4315,1638,114,167,79,66,0.545,2,70,0.981,0.672
,21,Los Angeles Dodgers,NL,162,1458,13056.0,6054,4352,1586,116,138,82,51,0.617,9,44,0.981,0.697
,22,San Francisco Giants,NL,162,1458,13170.0,6158,4390,1650,118,170,86,45,0.656,8,50,0.981,0.693
,23,Chicago White Sox,AL,162,1458,12900.0,6149,4300,1731,118,149,107,40,0.728,13,57,0.981,0.700
,24,Oakland Athletics,AL,162,1458,13170.0,6271,4390,1756,125,151,124,55,0.693,4,42,0.980,0.702
,25,Baltimore Orioles,AL,162,1456,12891.0,6021,4297,1599,125,137,157,51,0.755,15,37,0.979,0.694
,26,Detroit Tigers,AL,162,1457,12864.0,6194,4288,1775,131,164,104,50,0.675,30,40,0.979,0.676
,27,Pittsburgh Pirates,NL,162,1456,12747.0,6181,4249,1799,133,168,97,37,0.724,9,49,0.978,0.689
,28,Cincinnati Reds,NL,162,1458,12984.0,6199,4328,1733,138,136,75,62,0.547,21,53,0.978,0.684
,29,Tampa Bay Devil Rays,AL,162,1458,12813.0,5943,4271,1533,139,144,113,44,0.720,8,75,0.977,0.685
,30,San Diego Padres,NL,162,1458,12966.0,6074,4322,1607,145,127,94,52,0.644,15,46,0.976,0.686
2000,1,Cleveland Indians,AL,162,1458,12981.0,6065,4326,1667,72,147,109,42,0.722,10,50,0.988,0.680
,2,San Francisco Giants,NL,162,1458,12999.0,6067,4333,1641,93,173,97,46,0.678,15,43,0.985,0.691
,3,Colorado Rockies,NL,162,1458,12870.0,6114,4291,1729,94,176,102,34,0.750,15,40,0.985,0.684
,4,Seattle Mariners,AL,162,1458,12975.0,6054,4326,1629,99,176,82,38,0.683,7,43,0.984,0.699
,5,Toronto Blue Jays,AL,162,1458,12936.0,6089,4311,1678,100,175,99,37,0.728,11,37,0.984,0.677
,6,Chicago Cubs,NL,162,1458,13092.0,6041,4364,1577,100,139,94,52,0.644,6,45,0.983,0.694
,7,Kansas City Royals,AL,162,1458,12954.0,6160,4318,1740,102,185,118,38,0.756,7,77,0.983,0.691
,8,Detroit Tigers,AL,162,1457,12990.0,6188,4330,1753,105,171,55,42,0.567,7,51,0.983,0.679
,9,Philadelphia Phillies,NL,162,1458,12948.0,5892,4315,1477,100,136,77,43,0.642,4,54,0.983,0.695
,10,Minnesota Twins,AL,162,1458,12894.0,5926,4298,1526,102,155,64,32,0.667,13,68,0.983,0.673
,11,Boston Red Sox,AL,162,1456,13074.0,6115,4358,1648,109,120,159,47,0.772,27,32,0.982,0.696
,12,Arizona Diamondbacks,NL,162,1458,12993.0,5975,4331,1537,107,138,102,54,0.654,4,30,0.982,0.688
,13,Cincinnati Reds,NL,163,1467,13107.0,6121,4370,1640,111,156,81,33,0.711,12,94,0.982,0.704
,14,New York Yankees,AL,161,1449,12819.0,5863,4272,1482,109,132,91,37,0.711,13,49,0.981,0.693
,15,St. Louis Cardinals,NL,162,1452,12903.0,5932,4300,1521,111,148,69,66,0.511,8,49,0.981,0.700
,16,Milwaukee Brewers,NL,163,1467,13197.0,6260,4397,1745,118,187,86,58,0.597,12,60,0.981,0.693
,17,Tampa Bay Devil Rays,AL,161,1449,12882.0,6225,4294,1813,118,169,114,42,0.731,14,57,0.981,0.685
,18,Baltimore Orioles,AL,162,1458,12900.0,5988,4300,1572,116,151,104,31,0.770,6,51,0.981,0.684
,19,New York Mets,NL,162,1458,13050.0,6047,4348,1581,118,121,133,45,0.747,8,34,0.980,0.695
,20,Florida Marlins,NL,161,1449,12867.0,6115,4288,1702,125,144,104,52,0.667,12,49,0.980,0.685
,21,Atlanta Braves,NL,162,1458,12963.0,6178,4321,1728,129,138,99,33,0.750,9,23,0.979,0.693
,22,Pittsburgh Pirates,NL,162,1458,13041.0,6300,4342,1826,132,169,101,42,0.706,12,67,0.979,0.673
,23,Anaheim Angels,AL,162,1458,13032.0,6219,4345,1740,134,182,101,56,0.643,6,47,0.978,0.697
,24,Chicago White Sox,AL,162,1458,13053.0,6166,4350,1683,133,190,79,54,0.594,13,42,0.978,0.682
,25,Montreal Expos,NL,162,1456,12822.0,6106,4273,1701,132,151,123,37,0.769,20,54,0.978,0.674
,26,Oakland Athletics,AL,161,1449,12918.0,6165,4306,1725,134,164,92,39,0.702,8,46,0.978,0.682
,27,Los Angeles Dodgers,NL,162,1458,13005.0,6182,4333,1714,135,151,106,52,0.671,15,60,0.978,0.697
,28,Houston Astros,NL,162,1456,12939.0,6003,4313,1557,133,149,111,32,0.776,6,55,0.978,0.678
,29,Texas Rangers,AL,162,1457,12861.0,6011,4287,1589,135,162,65,36,0.644,8,41,0.978,0.668
,30,San Diego Padres,NL,162,1458,13134.0,6185,4376,1668,141,155,106,48,0.688,13,66,0.977,0.695