Year,RK,Team,League,W,L,ERA,G,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVGâ–¼,WHIP
,20,Minnesota Twins,AL,96,66,3.95,162,162,40,50,1439.1,1490,683,632,182,356,1164,0.267,1.28
,21,Milwaukee Brewers,NL,75,87,4.82,162,162,43,67,1425.2,1454,833,763,177,514,1145,0.265,1.38
,22,New York Yankees,AL,97,65,4.41,162,162,43,60,1443.2,1463,767,708,170,496,1019,0.262,1.36
,23,Toronto Blue Jays,AL,87,75,4.37,162,162,42,62,1428.1,1447,754,694,185,504,1076,0.262,1.37
,24,San Francisco Giants,NL,76,85,4.63,161,161,37,59,1429.2,1422,790,735,153,584,992,0.261,1.40
,25,Detroit Tigers,AL,95,67,3.84,162,162,46,62,1448.0,1420,675,618,160,489,1003,0.257,1.32
,26,Houston Astros,NL,82,80,4.08,162,162,42,60,1468.2,1425,719,666,182,480,1160,0.256,1.30
,27,Chicago Cubs,NL,66,96,4.74,162,162,29,46,1439.0,1396,834,758,210,687,1250,0.255,1.45
,28,Los Angeles Angels,AL,89,73,4.04,162,162,50,63,1452.2,1410,732,652,158,471,1164,0.254,1.29
,29,New York Mets,NL,97,65,4.15,162,162,43,58,1461.1,1402,731,674,180,527,1161,0.253,1.32
,30,San Diego Padres,NL,88,74,3.87,162,162,50,71,1463.2,1385,679,629,176,468,1097,0.249,1.27
2005,1,Kansas City Royals,AL,56,106,5.49,162,162,25,43,1413.1,1640,935,862,178,580,924,0.291,1.57
,2,Cincinnati Reds,NL,73,89,5.15,163,163,31,47,1433.0,1657,889,820,219,492,955,0.290,1.50
,3,Colorado Rockies,NL,67,95,5.13,162,162,37,63,1418.2,1600,862,808,175,604,981,0.287,1.55
,4,Tampa Bay Devil Rays,AL,67,95,5.39,162,162,43,69,1421.2,1570,936,851,194,615,949,0.280,1.54
,5,Texas Rangers,AL,79,83,4.96,162,162,46,68,1440.0,1589,858,794,159,522,932,0.279,1.47
,6,Arizona Diamondbacks,NL,77,85,4.84,162,162,45,62,1456.1,1580,856,783,193,537,1038,0.278,1.45
,7,Boston Red Sox,AL,95,67,4.74,162,162,38,57,1429.0,1550,805,752,164,440,959,0.276,1.39
,8,Detroit Tigers,AL,71,91,4.51,162,162,37,57,1435.2,1504,787,719,193,461,907,0.272,1.37
,9,New York Yankees,AL,95,67,4.52,162,162,46,67,1430.2,1495,789,718,164,463,985,0.269,1.37
,10,Seattle Mariners,AL,69,93,4.49,162,162,39,59,1427.2,1483,751,712,179,496,892,0.268,1.39
,11,Atlanta Braves,NL,90,72,3.98,162,162,38,62,1443.2,1487,674,639,145,520,929,0.268,1.39
,12,Pittsburgh Pirates,NL,67,95,4.42,162,162,35,47,1436.0,1456,769,706,162,612,958,0.267,1.44
,13,Florida Marlins,NL,83,79,4.16,162,162,42,60,1442.1,1459,732,666,116,563,1125,0.266,1.40
,14,Toronto Blue Jays,AL,80,82,4.06,162,162,35,56,1447.0,1475,705,653,185,444,958,0.264,1.33
,15,San Francisco Giants,NL,75,87,4.33,162,162,46,74,1444.1,1456,745,695,151,592,972,0.263,1.42
,16,Baltimore Orioles,AL,74,88,4.56,162,162,38,57,1427.2,1458,800,724,180,580,1052,0.263,1.43
,17,Los Angeles Dodgers,NL,71,91,4.38,162,162,40,59,1427.1,1434,755,695,182,471,1004,0.263,1.33
,18,Washington Nationals,NL,81,81,3.87,162,162,51,69,1458.0,1456,673,627,140,539,997,0.262,1.37
,19,Minnesota Twins,AL,83,79,3.71,162,162,44,60,1464.1,1458,662,604,169,348,965,0.261,1.23
,20,San Diego Padres,NL,82,80,4.13,162,162,45,65,1455.1,1452,726,668,146,503,1133,0.259,1.34
,21,St. Louis Cardinals,NL,100,62,3.49,162,162,48,65,1445.2,1399,634,560,153,443,974,0.257,1.27
,22,New York Mets,NL,83,79,3.76,162,162,38,59,1435.2,1390,648,599,135,491,1012,0.255,1.31
,23,Los Angeles Angels,AL,95,67,3.68,162,162,54,71,1464.1,1419,643,598,158,443,1126,0.254,1.27
,24,Philadelphia Phillies,NL,88,74,4.21,162,162,40,63,1435.0,1379,726,672,189,487,1159,0.253,1.30
,25,Milwaukee Brewers,NL,81,81,3.97,162,162,46,67,1438.0,1382,697,635,169,569,1173,0.251,1.36
,26,Chicago Cubs,NL,79,83,4.19,162,162,39,58,1440.0,1357,714,671,186,576,1256,0.250,1.34
,27,Chicago White Sox,AL,99,63,3.61,162,162,54,73,1475.2,1392,645,592,167,459,1040,0.249,1.25
,28,Cleveland Indians,AL,93,69,3.61,162,162,51,66,1452.2,1363,642,582,157,413,1050,0.247,1.22
,29,Houston Astros,NL,89,73,3.51,163,163,45,58,1443.0,1336,609,563,155,440,1164,0.246,1.23
,30,Oakland Athletics,AL,88,74,3.69,162,162,38,56,1450.1,1315,658,594,154,504,1075,0.241,1.25
2004,1,Colorado Rockies,NL,68,94,5.54,162,162,36,70,1435.1,1634,923,883,198,697,947,0.290,1.62
,2,Kansas City Royals,AL,58,104,5.15,162,162,25,47,1420.1,1638,905,813,208,518,887,0.290,1.52
,3,Cincinnati Reds,NL,76,86,5.19,162,162,47,78,1443.2,1595,907,832,236,572,992,0.280,1.50
,4,Detroit Tigers,AL,72,90,4.93,162,162,35,63,1439.2,1542,844,788,190,530,995,0.275,1.44
,5,Texas Rangers,AL,89,73,4.53,162,162,52,66,1439.2,1536,794,724,182,547,979,0.274,1.45
,6,Toronto Blue Jays,AL,67,94,4.91,161,161,37,53,1421.0,1505,823,775,181,608,956,0.273,1.49
,7,Chicago White Sox,AL,83,79,4.91,162,162,34,46,1432.1,1505,831,782,224,527,1013,0.272,1.42
,8,New York Yankees,AL,101,61,4.69,162,162,59,76,1443.2,1532,808,752,182,445,1058,0.271,1.37
,9,Cleveland Indians,AL,80,82,4.81,162,162,32,60,1466.2,1553,857,784,201,579,1115,0.271,1.45
,10,Pittsburgh Pirates,NL,72,89,4.29,161,161,46,69,1428.0,1451,744,680,149,576,1079,0.267,1.42
,11,Minnesota Twins,AL,92,70,4.03,162,162,48,68,1476.0,1523,715,661,167,431,1123,0.267,1.32
,12,Arizona Diamondbacks,NL,51,111,4.98,162,162,33,55,1436.0,1480,899,794,197,668,1153,0.266,1.50
,13,Montreal Expos,NL,67,95,4.33,162,162,31,49,1447.0,1477,769,696,191,582,1032,0.266,1.42
,14,Atlanta Braves,NL,96,66,3.74,162,162,48,68,1450.0,1475,668,603,154,523,1025,0.265,1.38
,15,Seattle Mariners,AL,63,99,4.76,162,162,28,49,1459.1,1498,823,772,212,575,1036,0.265,1.42
,16,Tampa Bay Devil Rays,AL,70,91,4.81,161,161,35,45,1417.0,1459,842,757,192,580,923,0.265,1.44
,17,San Francisco Giants,NL,91,71,4.29,162,162,46,74,1457.0,1481,770,695,161,548,1020,0.265,1.39
,18,Philadelphia Phillies,NL,86,76,4.45,162,162,43,68,1462.2,1488,781,724,214,502,1070,0.264,1.36
,19,Baltimore Orioles,AL,78,84,4.70,162,162,27,47,1455.1,1488,830,760,159,687,1090,0.264,1.49
,20,San Diego Padres,NL,87,75,4.03,162,162,44,64,1441.0,1460,705,645,184,422,1079,0.263,1.31
,21,Anaheim Angels,AL,92,70,4.28,162,162,50,67,1454.1,1476,734,692,170,502,1164,0.263,1.36
,22,Oakland Athletics,AL,91,71,4.17,162,162,35,63,1471.1,1466,742,682,164,544,1034,0.262,1.37
,23,New York Mets,NL,71,91,4.09,162,162,31,52,1449.0,1452,731,658,156,592,977,0.261,1.41
,24,Milwaukee Brewers,NL,67,94,4.24,161,161,42,64,1442.0,1440,757,679,164,476,1098,0.259,1.33
,25,Houston Astros,NL,92,70,4.05,162,162,47,70,1443.0,1416,698,650,174,525,1282,0.258,1.35
,26,Florida Marlins,NL,83,79,4.10,162,162,53,75,1439.0,1395,700,655,166,513,1116,0.256,1.33
,27,Boston Red Sox,AL,98,64,4.18,162,162,36,49,1451.1,1430,768,674,159,447,1132,0.255,1.29
,28,Los Angeles Dodgers,NL,93,69,4.01,162,162,51,60,1453.1,1386,684,647,178,521,1066,0.254,1.31
,29,St. Louis Cardinals,NL,105,57,3.75,162,162,57,73,1453.2,1378,659,605,169,440,1041,0.251,1.25
,30,Chicago Cubs,NL,89,73,3.81,162,162,42,66,1465.1,1363,665,621,169,545,1346,0.247,1.30
2003,1,Colorado Rockies,NL,74,88,5.20,162,162,34,54,1420.0,1629,892,821,200,552,866,0.290,1.54
,2,Texas Rangers,AL,71,91,5.67,162,162,43,63,1433.1,1625,969,903,208,603,1009,0.288,1.55
,3,Detroit Tigers,AL,43,119,5.30,162,162,27,46,1438.2,1616,928,847,195,557,764,0.286,1.51
,4,Milwaukee Brewers,NL,68,94,5.02,162,162,44,71,1452.0,1590,873,810,219,575,1034,0.279,1.49
,5,Kansas City Royals,AL,83,79,5.05,162,162,36,64,1438.2,1569,867,808,190,566,865,0.279,1.48
,6,Cincinnati Reds,NL,69,93,5.09,162,162,38,64,1446.1,1578,886,818,209,590,932,0.278,1.50
,7,Baltimore Orioles,AL,71,91,4.76,163,163,41,62,1449.2,1579,820,767,198,526,981,0.278,1.45
,8,Toronto Blue Jays,AL,86,76,4.69,162,162,35,52,1435.0,1560,826,748,184,485,984,0.276,1.43
,9,New York Mets,NL,66,95,4.48,161,161,38,53,1413.1,1497,754,704,168,576,907,0.273,1.47
,10,Pittsburgh Pirates,NL,75,87,4.64,162,162,44,68,1444.1,1527,801,744,178,502,926,0.272,1.40
,11,St. Louis Cardinals,NL,85,77,4.60,162,162,41,71,1463.2,1544,796,748,210,508,969,0.271,1.40
,12,Minnesota Twins,AL,90,72,4.41,162,162,45,64,1462.0,1526,758,716,187,402,997,0.268,1.32
,13,New York Yankees,AL,101,61,4.02,163,163,49,67,1462.0,1512,716,653,145,375,1119,0.265,1.29
,14,Tampa Bay Devil Rays,AL,63,99,4.93,162,162,30,55,1436.2,1454,852,787,196,639,877,0.264,1.46
,15,Cleveland Indians,AL,68,94,4.21,162,162,34,59,1459.1,1477,778,682,179,501,943,0.264,1.36
,16,Montreal Expos,NL,83,79,4.01,162,162,42,60,1437.2,1467,716,640,181,463,1028,0.264,1.34
,17,San Diego Padres,NL,64,98,4.87,162,162,31,49,1431.1,1458,831,774,208,611,1091,0.264,1.45
,18,Boston Red Sox,AL,95,67,4.48,162,162,36,57,1464.2,1503,809,729,153,488,1141,0.263,1.36
,19,Anaheim Angels,AL,77,85,4.28,162,162,39,52,1431.1,1444,743,680,190,486,980,0.261,1.35
,20,Florida Marlins,NL,91,71,4.04,162,162,36,49,1445.1,1415,692,648,128,530,1132,0.258,1.35
,21,Atlanta Braves,NL,101,61,4.10,162,162,51,71,1456.1,1425,740,663,147,555,992,0.257,1.36
,22,Philadelphia Phillies,NL,86,76,4.04,162,162,33,51,1443.2,1386,697,648,142,536,1060,0.253,1.33
,23,Chicago White Sox,AL,86,76,4.17,162,162,36,53,1431.0,1364,715,663,162,518,1056,0.253,1.32
,24,San Francisco Giants,NL,100,61,3.73,161,161,43,60,1437.1,1349,638,595,136,546,1006,0.250,1.32
,25,Arizona Diamondbacks,NL,84,78,3.84,162,162,42,55,1455.0,1379,685,621,150,526,1291,0.250,1.31
,26,Houston Astros,NL,87,75,3.86,162,162,50,64,1450.0,1350,677,622,161,565,1139,0.248,1.32
,27,Seattle Mariners,AL,93,69,3.76,162,162,38,52,1441.0,1340,637,602,173,466,1001,0.247,1.25
,28,Oakland Athletics,AL,96,66,3.63,162,162,48,60,1441.2,1336,643,582,140,499,1018,0.246,1.27
,29,Chicago Cubs,NL,88,74,3.83,162,162,36,51,1456.1,1304,683,619,143,617,1404,0.241,1.32
,30,Los Angeles Dodgers,NL,85,77,3.16,162,162,58,66,1457.2,1254,556,511,127,526,1289,0.234,1.22
2002,1,Detroit Tigers,AL,55,106,4.92,161,161,33,53,1414.0,1593,864,773,163,463,794,0.285,1.45
,2,Kansas City Royals,AL,62,100,5.21,162,162,30,54,1441.0,1587,891,834,212,572,909,0.281,1.50
,3,Tampa Bay Devil Rays,AL,55,106,5.29,161,161,25,46,1440.1,1567,918,846,215,620,925,0.279,1.52
,4,Colorado Rockies,NL,73,89,5.20,162,162,43,59,1426.2,1554,898,825,225,582,920,0.277,1.50
,5,Cleveland Indians,AL,74,88,4.91,162,162,34,53,1424.2,1508,837,777,142,603,1058,0.274,1.48
,6,San Diego Padres,NL,66,96,4.62,162,162,40,62,1436.1,1522,815,737,177,582,1108,0.274,1.46
,7,Texas Rangers,AL,72,90,5.15,162,162,33,65,1439.2,1528,882,824,194,669,1030,0.272,1.53
,8,Toronto Blue Jays,AL,78,84,4.80,162,162,41,70,1438.1,1504,828,767,177,590,991,0.269,1.46
,9,Cincinnati Reds,NL,78,84,4.27,162,162,42,57,1453.2,1502,774,690,173,550,980,0.269,1.41
,10,Milwaukee Brewers,NL,56,106,4.73,162,162,32,42,1432.1,1468,821,752,199,666,1026,0.268,1.49
,11,Pittsburgh Pirates,NL,72,89,4.23,161,161,47,66,1412.2,1447,730,664,163,572,920,0.268,1.43
,12,Baltimore Orioles,AL,67,95,4.46,162,162,31,46,1450.2,1491,773,719,208,549,967,0.266,1.41
,13,Montreal Expos,NL,83,79,3.97,162,162,39,59,1453.0,1475,718,641,165,508,1088,0.265,1.36
,14,Florida Marlins,NL,79,83,4.36,162,162,36,55,1456.1,1449,763,706,151,631,1104,0.262,1.43
,15,Minnesota Twins,AL,94,67,4.12,161,161,47,65,1444.2,1454,712,662,184,439,1026,0.261,1.31
,16,Chicago White Sox,AL,81,81,4.53,162,162,35,46,1423.0,1422,798,716,190,528,945,0.260,1.37
,17,Houston Astros,NL,84,78,4.00,162,162,43,58,1445.0,1423,695,642,151,546,1219,0.260,1.36
,18,Seattle Mariners,AL,93,69,4.07,162,162,43,64,1445.1,1422,699,654,178,441,1063,0.257,1.29
,19,New York Mets,NL,75,86,3.89,161,161,36,51,1442.2,1408,703,624,163,543,1107,0.256,1.35
,20,New York Yankees,AL,103,58,3.87,161,161,53,69,1452.0,1441,697,625,144,403,1135,0.256,1.27
,21,Chicago Cubs,NL,67,95,4.29,162,162,23,48,1441.1,1373,759,687,167,606,1333,0.253,1.37
,22,Philadelphia Phillies,NL,80,81,4.17,161,161,47,71,1449.2,1381,724,671,153,570,1075,0.252,1.35
,23,Oakland Athletics,AL,103,59,3.68,162,162,48,68,1452.0,1391,654,593,135,474,1021,0.252,1.28
,24,St. Louis Cardinals,NL,97,65,3.70,162,162,42,63,1446.1,1355,648,595,141,547,1009,0.251,1.32
,25,San Francisco Giants,NL,95,66,3.54,162,162,43,60,1437.1,1349,616,566,116,523,992,0.251,1.30
,26,Arizona Diamondbacks,NL,98,64,3.92,162,162,40,59,1446.2,1361,674,630,170,421,1303,0.247,1.23
,27,Anaheim Angels,AL,99,63,3.69,162,162,54,70,1452.1,1345,644,595,169,509,999,0.247,1.28
,28,Boston Red Sox,AL,93,69,3.75,162,162,51,68,1446.0,1339,665,603,146,430,1157,0.246,1.22
,29,Los Angeles Dodgers,NL,92,70,3.69,162,162,56,71,1457.2,1311,643,598,165,555,1132,0.242,1.28
,30,Atlanta Braves,NL,101,59,3.13,161,161,57,71,1467.1,1302,565,511,123,554,1058,0.240,1.26
2001,1,Texas Rangers,AL,73,89,5.71,162,162,37,56,1438.1,1670,968,913,222,596,951,0.293,1.58
,2,Detroit Tigers,AL,66,96,5.01,162,162,34,56,1429.1,1624,876,795,180,553,859,0.289,1.52
,3,Cincinnati Reds,NL,66,96,4.77,162,162,35,55,1442.2,1572,850,765,198,515,943,0.279,1.45
,4,Kansas City Royals,AL,65,97,4.87,162,162,30,50,1440.0,1537,858,779,209,576,911,0.276,1.47
,5,Toronto Blue Jays,AL,80,82,4.28,162,162,41,66,1462.2,1553,753,696,165,490,1041,0.275,1.40
,6,Colorado Rockies,NL,73,89,5.29,162,162,26,50,1430.0,1522,906,841,239,598,1058,0.275,1.48
,7,Tampa Bay Devil Rays,AL,62,100,4.94,162,162,30,51,1423.2,1513,887,781,207,569,1030,0.273,1.46
,8,Pittsburgh Pirates,NL,62,100,5.05,162,162,36,51,1416.1,1493,858,794,167,549,908,0.272,1.44
,9,Montreal Expos,NL,68,94,4.68,162,162,28,46,1431.1,1509,812,745,190,525,1103,0.272,1.42
,10,Cleveland Indians,AL,91,71,4.64,162,162,42,57,1446.2,1512,821,746,148,573,1218,0.270,1.44
,11,San Diego Padres,NL,79,83,4.52,162,162,46,66,1440.2,1519,812,724,219,476,1088,0.269,1.38
,12,Baltimore Orioles,AL,63,98,4.67,162,162,31,50,1432.1,1504,829,744,194,528,938,0.269,1.42
,13,Minnesota Twins,AL,85,77,4.51,162,162,45,64,1441.1,1494,766,722,192,445,965,0.268,1.35
,14,Chicago White Sox,AL,83,79,4.55,162,162,51,71,1433.1,1465,795,725,181,500,921,0.266,1.37
,15,Milwaukee Brewers,NL,68,94,4.64,162,162,28,45,1436.1,1452,806,740,197,667,1057,0.265,1.48
,16,Anaheim Angels,AL,75,87,4.20,162,162,43,60,1437.2,1452,730,671,168,525,947,0.263,1.38
,17,Houston Astros,NL,93,69,4.37,162,162,48,65,1454.2,1453,769,707,221,486,1228,0.261,1.33
,18,Philadelphia Phillies,NL,86,76,4.15,162,162,47,71,1445.1,1417,719,667,170,527,1086,0.259,1.35
,19,San Francisco Giants,NL,90,72,4.18,162,162,47,63,1463.1,1437,748,680,145,579,1080,0.258,1.38
,20,New York Mets,NL,82,80,4.07,162,162,48,64,1445.2,1418,713,654,186,438,1191,0.257,1.28
,21,Florida Marlins,NL,76,86,4.32,162,162,32,49,1438.0,1397,744,691,151,617,1119,0.257,1.40
,22,New York Yankees,AL,95,65,4.02,161,161,57,70,1451.1,1429,713,649,158,465,1266,0.257,1.31
,23,St. Louis Cardinals,NL,93,69,3.93,162,162,38,55,1435.1,1389,684,627,196,526,1083,0.256,1.33
,24,Boston Red Sox,AL,82,79,4.15,161,161,48,69,1448.0,1412,745,667,146,544,1259,0.254,1.35
,25,Los Angeles Dodgers,NL,86,76,4.25,162,162,46,72,1450.2,1387,744,685,184,524,1212,0.252,1.32
,26,Atlanta Braves,NL,88,74,3.59,162,162,41,63,1447.1,1363,643,578,153,499,1133,0.250,1.29
,27,Oakland Athletics,AL,102,60,3.59,162,162,44,67,1463.1,1384,645,583,153,440,1117,0.249,1.25
,28,Chicago Cubs,NL,88,74,4.03,162,162,41,60,1437.0,1357,701,643,164,550,1344,0.249,1.33
,29,Arizona Diamondbacks,NL,92,70,3.87,162,162,34,50,1459.2,1352,677,627,195,461,1297,0.247,1.24
,30,Seattle Mariners,AL,116,46,3.54,162,162,56,73,1465.0,1293,627,576,160,465,1051,0.236,1.20
2000,1,Texas Rangers,AL,71,91,5.52,162,162,39,65,1429.0,1683,974,876,202,661,918,0.294,1.64
,2,Minnesota Twins,AL,69,93,5.16,162,162,35,54,1432.2,1634,880,821,212,516,1042,0.287,1.50
,3,Toronto Blue Jays,AL,83,79,5.14,162,162,37,52,1437.1,1615,908,821,195,560,978,0.285,1.51
,4,Montreal Expos,NL,67,95,5.14,162,162,39,59,1424.2,1575,902,814,181,579,1011,0.282,1.51
,5,Kansas City Royals,AL,77,85,5.48,162,162,29,55,1439.1,1585,930,876,239,693,927,0.282,1.58
,6,Houston Astros,NL,72,90,5.42,162,162,30,55,1437.2,1596,944,865,234,598,1064,0.281,1.53
,7,Colorado Rockies,NL,82,80,5.27,162,162,33,58,1430.0,1568,897,838,221,588,1001,0.281,1.51
,8,Detroit Tigers,AL,79,83,4.72,162,162,44,61,1443.1,1583,827,757,177,496,978,0.280,1.44
,9,Tampa Bay Devil Rays,AL,69,92,4.86,161,161,38,66,1431.1,1553,842,773,198,533,955,0.278,1.46
,10,Pittsburgh Pirates,NL,69,93,4.94,162,162,27,48,1449.0,1554,888,795,163,711,1070,0.277,1.56
,11,Baltimore Orioles,AL,74,88,5.37,162,162,33,57,1433.1,1547,913,855,202,665,1017,0.275,1.54
,12,Oakland Athletics,AL,91,70,4.58,161,161,43,62,1435.1,1535,813,730,158,615,963,0.274,1.50
,13,Anaheim Angels,AL,82,80,5.02,162,162,46,68,1448.0,1534,869,807,228,662,846,0.273,1.52
,14,Chicago White Sox,AL,95,67,4.66,162,162,43,67,1450.1,1509,839,751,195,614,1037,0.270,1.46
,15,Cleveland Indians,AL,90,72,4.84,162,162,34,57,1442.1,1511,816,775,173,666,1213,0.270,1.51
,16,Florida Marlins,NL,79,82,4.59,161,161,48,68,1429.2,1477,797,729,169,650,1051,0.269,1.49
,17,Milwaukee Brewers,NL,73,89,4.63,163,163,29,44,1466.1,1501,826,755,174,728,967,0.269,1.52
,18,Chicago Cubs,NL,65,97,5.25,162,162,39,68,1454.2,1505,904,849,231,658,1143,0.268,1.49
,19,San Francisco Giants,NL,97,65,4.21,162,162,47,70,1444.1,1452,747,675,151,623,1076,0.266,1.44
,20,Philadelphia Phillies,NL,65,97,4.77,162,162,34,54,1438.2,1458,830,763,201,640,1123,0.265,1.46
,21,New York Yankees,AL,87,74,4.76,161,161,40,57,1424.1,1458,814,753,177,577,1040,0.263,1.43
,22,Arizona Diamondbacks,NL,85,77,4.35,162,162,38,56,1443.2,1441,754,698,190,500,1220,0.262,1.34
,23,Seattle Mariners,AL,91,71,4.51,162,162,44,60,1441.2,1442,780,723,167,634,998,0.262,1.44
,24,Cincinnati Reds,NL,85,77,4.33,163,163,42,54,1456.1,1446,765,700,190,659,1015,0.261,1.45
,25,St. Louis Cardinals,NL,95,67,4.38,162,162,37,59,1433.2,1403,771,698,196,606,1100,0.259,1.40
,26,San Diego Padres,NL,76,86,4.52,162,162,46,70,1459.1,1443,815,733,191,649,1071,0.258,1.43
,27,Atlanta Braves,NL,95,67,4.05,162,162,53,67,1440.1,1428,714,648,165,484,1093,0.258,1.33
,28,Boston Red Sox,AL,85,77,4.23,162,162,46,65,1452.2,1433,745,683,173,498,1121,0.257,1.33
,29,New York Mets,NL,94,68,4.16,162,162,49,66,1450.0,1398,738,670,164,574,1164,0.252,1.36
,30,Los Angeles Dodgers,NL,86,76,4.10,162,162,36,59,1445.0,1379,729,659,176,600,1154,0.252,1.37